"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"sf","/usr/local/lib/R/site-library","1.0-22",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, s2 (>= 1.1.0), stats, tools, units (>= 0.7-0), utils","Rcpp","blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.6-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"sfsmisc","/usr/local/lib/R/site-library","1.1-22",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme,
lokern, Rmpfr, gmp","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, DescTools,
e1071, Hmisc, pastecs, polynom, relevance, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"shiny","/usr/local/lib/R/site-library","1.11.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.3.2), tools, cli, rlang (>= 0.4.10), fastmap (>= 1.1.1),
withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>= 0.6.0),
cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"coro (>= 1.1.0), datasets, DT, Cairo (>= 1.5-5), testthat (>=
3.2.1), knitr (>= 1.6), markdown, rmarkdown, ggplot2, reactlog
(>= 1.0.0), magrittr, yaml, mirai, future, dygraphs, ragg,
showtext, sass, watcher",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"shinyBS","/usr/local/lib/R/site-library","0.61.1",NA,NA,"shiny (>= 0.11), htmltools",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"shinydashboard","/usr/local/lib/R/site-library","0.7.3",NA,"R (>= 3.0)","htmltools (>= 0.2.6), promises, shiny (>= 1.0.0), utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"shinyjs","/usr/local/lib/R/site-library","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"Signac","/usr/local/lib/R/site-library","1.16.0",NA,"R (>= 4.1.0), methods","GenomeInfoDb (>= 1.29.3), GenomicRanges, IRanges, Matrix,
Rsamtools, S4Vectors, SeuratObject (>= 5.0.2), data.table,
dplyr (>= 1.0.0), future, future.apply, ggplot2, rlang, irlba,
pbapply, tidyr, patchwork, stats, utils, BiocGenerics, stringi,
fastmatch, RcppRoll, scales, Rcpp, grid, tidyselect, vctrs,
lifecycle","Rcpp","Seurat (>= 5.0.2), ggforce, ggrepel, ggseqlogo, testthat (>=
2.1.0), chromVAR, SummarizedExperiment, TFBSTools, motifmatchr,
BSgenome, shiny, miniUI, rtracklayer, biovizBase, Biostrings,
lsa, MASS, wrswoR",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"SingleCellExperiment","/usr/local/lib/R/site-library","1.32.0",NA,"SummarizedExperiment","methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"sitmo","/usr/local/lib/R/site-library","2.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.13)","Rcpp","knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"sn","/usr/local/lib/R/site-library","2.1.1",NA,"R (>= 3.0.0), methods, stats4","mnormt (>= 2.0.0), numDeriv, utils, quantreg",NA,"R.rsp",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.5.0"
"snow","/usr/local/lib/R/site-library","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.5.1"
"sourcetools","/usr/local/lib/R/site-library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"sp","/usr/local/lib/R/site-library","2.2-0",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, maps, mapview, rmarkdown,
sf, terra, raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spam","/usr/local/lib/R/site-library","2.11-1",NA,"R (>= 4.0)","dotCall64, grid, methods, Rcpp (>= 1.0.8.3)","Rcpp","spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"SparseArray","/usr/local/lib/R/site-library","1.10.1",NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.9.3)","utils, stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"SparseM","/usr/local/lib/R/site-library","1.84-2",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"sparseMatrixStats","/usr/local/lib/R/site-library","1.22.0",NA,"MatrixGenerics (>= 1.5.3)","Rcpp, Matrix, matrixStats (>= 0.60.0), methods","Rcpp","testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.data","/usr/local/lib/R/site-library","3.1-9",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.1-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"spatstat.explore","/usr/local/lib/R/site-library","3.5-3",NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), spatstat.geom (>= 3.6), spatstat.random (>= 3.4),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.2), spatstat.sparse (>= 3.1), goftest (>=
1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.3), spatstat.model (>= 3.4), spatstat (>=
3.4)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.geom","/usr/local/lib/R/site-library","3.6-0",NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), stats, graphics, grDevices, utils, methods","spatstat.utils (>= 3.2-0), deldir (>= 1.0-2), polyclip (>=
1.10)",NA,"spatstat.random (>= 3.4), spatstat.explore (>= 3.4),
spatstat.model (>= 3.3), spatstat.linnet (>= 3.2), spatial,
fftwtools (>= 0.9-8), spatstat (>= 3.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.random","/usr/local/lib/R/site-library","3.4-2",NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.1), spatstat.geom (>= 3.5-0), stats, utils, methods,
grDevices","spatstat.utils (>= 3.1-4)",NA,"spatial, spatstat.linnet (>= 3.2), spatstat.explore,
spatstat.model, spatstat (>= 3.3), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.sparse","/usr/local/lib/R/site-library","3.1-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.univar","/usr/local/lib/R/site-library","3.1-4",NA,"R (>= 3.5.0), stats","spatstat.utils (>= 3.1-2), graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"spatstat.utils","/usr/local/lib/R/site-library","3.2-0",NA,"R (>= 3.5.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"stringi","/usr/local/lib/R/site-library","1.8.7",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.5.1"
"stringr","/usr/local/lib/R/site-library","1.6.0",NA,"R (>= 4.1.0)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"SummarizedExperiment","/usr/local/lib/R/site-library","1.40.0",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.61.4), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.51.3),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), Seqinfo, S4Arrays
(>= 1.1.1), DelayedArray (>= 0.31.12)",NA,"GenomeInfoDb (>= 1.45.5), rhdf5, HDF5Array (>= 1.7.5),
annotate, AnnotationDbi, GenomicFeatures, SparseArray,
SingleCellExperiment, TxDb.Hsapiens.UCSC.hg19.knownGene,
hgu95av2.db, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown,
RUnit, testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"sys","/usr/local/lib/R/site-library","3.4.3",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"systemfonts","/usr/local/lib/R/site-library","1.3.1",NA,"R (>= 3.2.0)","base64enc, grid, jsonlite, lifecycle, tools, utils","cpp11 (>= 0.2.1)","covr, farver, ggplot2, graphics, knitr, ragg, rmarkdown,
svglite, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"tensor","/usr/local/lib/R/site-library","1.5.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"testthat","/usr/local/lib/R/site-library","3.3.0",NA,"R (>= 4.1.0)","brio (>= 1.1.5), callr (>= 3.7.6), cli (>= 3.6.5), desc (>=
1.4.3), evaluate (>= 1.0.4), jsonlite (>= 2.0.0), lifecycle (>=
1.0.4), magrittr (>= 2.0.3), methods, pkgload (>= 1.4.0),
praise (>= 1.0.0), processx (>= 3.8.6), ps (>= 1.9.1), R6 (>=
2.6.1), rlang (>= 1.1.6), utils, waldo (>= 0.6.2), withr (>=
3.0.2)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), digest (>=
0.6.33), gh, knitr, rmarkdown, rstudioapi, S7, shiny, usethis,
vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"textshaping","/usr/local/lib/R/site-library","1.0.4",NA,"R (>= 3.2.0)","lifecycle, stats, stringi, systemfonts (>= 1.3.0), utils","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, grDevices, grid, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"TFBSTools","/usr/local/lib/R/site-library","1.48.0",NA,"R (>= 3.2.2)","Biobase(>= 2.28), Biostrings(>= 2.36.4), pwalign,
BiocGenerics(>= 0.14.0), BiocParallel(>= 1.2.21), BSgenome(>=
1.36.3), caTools(>= 1.17.1), DirichletMultinomial(>= 1.10.0),
Seqinfo, GenomicRanges(>= 1.20.6), gtools(>= 3.5.0), grid,
IRanges(>= 2.2.7), methods, DBI (>= 0.6), RSQLite(>= 1.0.0),
rtracklayer(>= 1.28.10), seqLogo(>= 1.34.0), S4Vectors(>=
0.9.25), TFMPvalue(>= 0.0.5), XML(>= 3.98-1.3), XVector(>=
0.8.0), parallel",NA,"BiocStyle(>= 1.7.7), JASPAR2014(>= 1.4.0), knitr(>= 1.11),
testthat, JASPAR2016(>= 1.0.0), JASPAR2018(>= 1.0.0), rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.1"
"TFisher","/usr/local/lib/R/site-library","0.2.0",NA,NA,"stats, sn, mvtnorm, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"TFMPvalue","/usr/local/lib/R/site-library","0.0.9",NA,"R (>= 3.0.1)","Rcpp(>= 0.11.1)","Rcpp","testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.1"
"TH.data","/usr/local/lib/R/site-library","1.1-4",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"trtf, tram, rms, coin, ATR, multcomp, gridExtra, vcd,
colorspace, lattice, knitr, dplyr, openxlsx, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"tibble","/usr/local/lib/R/site-library","3.3.0",NA,"R (>= 3.4.0)","cli, lifecycle (>= 1.0.0), magrittr, methods, pillar (>=
1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs (>= 0.5.0)",NA,"bench, bit64, blob, brio, callr, DiagrammeR, dplyr, evaluate,
formattable, ggplot2, here, hms, htmltools, knitr, lubridate,
nycflights13, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"tidyr","/usr/local/lib/R/site-library","1.3.1",NA,"R (>= 3.6)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"tidyselect","/usr/local/lib/R/site-library","1.2.1",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.5.2), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"tinytex","/usr/local/lib/R/site-library","0.57",NA,NA,"xfun (>= 0.48)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"tzdb","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 4.0.0)",NA,"cpp11 (>= 0.5.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"UCSC.utils","/usr/local/lib/R/site-library","1.6.0",NA,NA,"methods, stats, httr, jsonlite, S4Vectors (>= 0.47.6)",NA,"DBI, RMariaDB, GenomeInfoDb, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"units","/usr/local/lib/R/site-library","1.0-0",NA,"R (>= 3.5.0)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rvest, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"utf8","/usr/local/lib/R/site-library","1.2.6",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"uuid","/usr/local/lib/R/site-library","1.2-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"uwot","/usr/local/lib/R/site-library","0.2.4",NA,"Matrix","FNN, irlba, methods, Rcpp, RcppAnnoy (>= 0.0.17), RSpectra","dqrng, Rcpp, RcppAnnoy, RcppProgress","bigstatsr, covr, knitr, RcppHNSW, rmarkdown, rnndescent,
testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.1"
"vctrs","/usr/local/lib/R/site-library","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"VGAM","/usr/local/lib/R/site-library","1.1-13",NA,"R (>= 4.1.0), methods, stats, stats4, splines",NA,NA,"VGAMextra, MASS, mgcv","VGAMdata","GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"vipor","/usr/local/lib/R/site-library","0.4.7",NA,"R (>= 3.5.0)","stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"viridisLite","/usr/local/lib/R/site-library","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"vroom","/usr/local/lib/R/site-library","1.6.6",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.3), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"waldo","/usr/local/lib/R/site-library","0.6.2",NA,"R (>= 4.0)","cli, diffobj (>= 0.3.4), glue, methods, rlang (>= 1.1.0)",NA,"bit64, R6, S7, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"withr","/usr/local/lib/R/site-library","3.0.2",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"wk","/usr/local/lib/R/site-library","0.9.4",NA,"R (>= 2.10)",NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"WriteXLS","/usr/local/lib/R/site-library","6.8.0",NA,NA,"utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"xfun","/usr/local/lib/R/site-library","0.54",NA,"R (>= 3.2.0)","grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, litedown (>= 0.6), commonmark, knitr (>= 1.50),
remotes, pak, curl, xml2, jsonlite, magick, yaml, data.table,
qs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"XML","/usr/local/lib/R/site-library","3.99-0.20",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"xtable","/usr/local/lib/R/site-library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"XVector","/usr/local/lib/R/site-library","0.50.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.43.8)","methods, utils, stats, tools, BiocGenerics, S4Vectors, IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
